iter	MultiClass
371	0.09686325889
372	0.09683441477
373	0.0968019991
374	0.09644969405
375	0.09638948859
376	0.09623603541
377	0.09602150812
378	0.09579835768
379	0.09543832353
380	0.09539546557
381	0.0952648346
382	0.09510899419
383	0.09465070785
384	0.09461942673
385	0.09458978392
386	0.09424310519
387	0.09407165615
388	0.09403454335
389	0.0939876758
390	0.09396619628
391	0.09377100906
392	0.09349919017
393	0.09321358997
394	0.09317775302
395	0.09310946463
396	0.09301648021
397	0.09278674508
398	0.09263943164
399	0.09234349806
400	0.09190473601
401	0.09176994332
402	0.09157580658
403	0.09134422319
404	0.09126907992
405	0.09114416872
406	0.09109728247
407	0.09106618246
408	0.09091561044
409	0.09069996353
410	0.09068479572
411	0.09058250381
412	0.09050154829
413	0.09049504072
414	0.08999423504
415	0.08994708571
416	0.0898671217
417	0.08957139352
418	0.08938213495
419	0.08924338194
420	0.08917603489
421	0.08889609579
422	0.08886341583
423	0.0884877601
424	0.08834001074
425	0.08803743704
426	0.08799055637
427	0.08797004797
428	0.08787575504
429	0.08777644944
430	0.08767953431
431	0.08743814849
432	0.08739384493
433	0.08718436434
434	0.08668846422
435	0.08641058526
436	0.08596383523
437	0.08593831936
438	0.08593021368
439	0.08576329352
440	0.08573005613
441	0.0857144906
442	0.08570087159
443	0.08559564731
444	0.08550836733
445	0.08548900746
446	0.08522980307
447	0.08520578835
448	0.08513756006
449	0.08506731863
450	0.08496518744
451	0.08487367474
452	0.08458677417
453	0.08439148181
454	0.08414114902
455	0.08411947323
456	0.08408291724
457	0.08396409203
458	0.08380449928
459	0.08340510439
460	0.08296858096
461	0.08288983011
462	0.08278843095
463	0.08275930185
464	0.08268267845
465	0.08266154769
466	0.08264134174
467	0.08257201741
468	0.08255695703
469	0.08230415423
470	0.08227101973
471	0.08182311582
472	0.08176508798
473	0.08154069281
474	0.08130299878
475	0.08105998355
476	0.08102702008
477	0.08089389612
478	0.08078149226
479	0.08062621722
480	0.08037216233
481	0.08031496267
482	0.08031130665
483	0.08005274849
484	0.07993609074
485	0.0798828411
486	0.07973468354
487	0.07956889625
488	0.07943036132
489	0.07923132087
490	0.07917265064
491	0.07910358245
492	0.07888459043
493	0.07867731663
494	0.07864299144
495	0.07851388815
496	0.07827282375
497	0.07811761449
498	0.07801636515
499	0.0778910043
